"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"In Lesson One, what does audience mean?","Who the website is designed for","The colours used on the website","The final section of a web page","A list of image credits"
"What is one purpose of the Visit Edinburgh website from the planning lesson?","To help someone plan or guide their visit","To teach people how to draw a logo","To collect every fact about Scotland","To sell computer hardware"
"Which keyword means a block of related content on a page?","Section","Audience","Source URL","Annotation"
"What does layout mean in Lesson One?","How text, images, headings, and sections are arranged","The web address where information came from","A short note added to a design","A trustworthy website"
"Why should important information appear near the top of the page?","Visitors usually look at the top first","Credits must always be the first section","Images cannot be placed near the bottom","Headings only work at the top"
"Which question helps plan the visitor's journey?","Who is it for?","What font is the most expensive?","How many adverts should be added?","Can the website avoid headings?"
"What should a good heading do?","Clearly describe the content below it","Hide the purpose of the section","Replace all useful information","Only appear in the credits"
"Which of these is an example of a clear heading from Lesson One?","Getting Around Edinburgh","Random Things","Page Bit 4","Website Stuff"
"What should the website designer think about when deciding section order?","What the visitor needs first","Which section is hardest to write","How to make visitors search longer","Where to remove useful details"
"In Lesson Two, what is a wireframe?","A simple plan showing where the main parts of a web page will go","A finished website with colours and fonts","A web address for an image source","A list of unreliable websites"
"Why is a wireframe useful before building?","It helps designers spot problems before building","It automatically writes all website text","It replaces the need for research","It proves every source is reliable"
"What does a wireframe not need to include?","Finished colours, fonts, or images","A clear page title","A short introduction","Useful content sections"
"Which keyword means a short title that tells the visitor what a section is about?","Heading","Characteristic","Source","Content Order"
"What does content order mean?","The sequence that information appears in on the page","The size of an image file","The website's source URL","The number of words in a heading"
"What is an annotation in a wireframe?","A short note added to a design to explain what should be included","A finished photograph used in the final page","A source that is always unreliable","A section that must appear before the title"
"What can annotations help explain?","What text, image, or heading should go in a section","Which adverts should appear on every page","How to remove the visitor journey","Why sources do not need recording"
"According to Lesson Two, what might tourists want near the top of the page?","Attractions","Credits only","Unclear ownership details","The least useful information"
"According to Lesson Two, what may first-time visitors need?","Transport information","Only image credits","A list of fonts","Unusual website names"
"Which section order appears in the example layout?","Title, Introduction, Attractions, Transport, Visitor tips, Credits","Credits, Visitor tips, Transport, Attractions, Introduction, Title","Transport, Credits, Title, Images, Fonts, Introduction","Attractions, Credits, Source URL, Annotation, Layout, Title"
"What should a wireframe checklist include?","A clear page title and a short introduction","Only finished colours and fonts","Only a source URL","Every fact found during research"
"In Lesson Three, what is a source?","Where information or an image came from","The order of sections on a page","A short title for a section","A page layout with no notes"
"What does reliable mean in Lesson Three?","Accurate, trustworthy, and suitable for the task","Colourful, hidden, and difficult to check","Old, unclear, and full of adverts","Short, random, and unrelated"
"For the Visit Edinburgh website, who is the research aimed at helping?","Tourists who want useful trip information quickly","Only website designers choosing fonts","People looking for computer lessons","Visitors who only need source credits"
"Which is a sign that a website source may be reliable?","It belongs to an official organisation or business","It has an unusual name and unclear ownership","It contains excessive advertisements","It hides contact information"
"Why should you record a source URL?","So you can find the information again and show where it came from","So you can avoid checking if the information is accurate","So the website does not need headings","So the wireframe is automatically complete"
"Why should facts be rewritten in your own words?","So the website is clear and original","So the source becomes unnecessary","So the visitor journey disappears","So the facts become less accurate"
"What is an information model?","A structured way to describe real-world things using the same set of fields","A finished image for the page title","A list of headings with no research","A website with excessive advertisements"
"In an information model, what is each column called?","A field","A wireframe","A visitor tip","A credit"
"Which set of fields appears in the example information model?","Name, Description, Location, Source Type, Source URL","Audience, Purpose, Font, Colour, Animation","Title, Credits, Advert, Logo, Password","Transport, Family, Tourist, Event, Activity"
"Why use the same fields for each item in an information model?","It makes information easier to compare, sort, search, and reuse","It makes sources less important","It removes the need for useful details","It hides the location of each item"
